contract_id,district_id,district_name,source_doc_id,bucket,detail,source_url
442,10983,South Macoupin Association,693,no_candidate_table,"{'lines_with_money': 55, 'lines_with_edu_lane': 5, 'bare_step_rows': 1} | sample: 1 4 4 9 4 1 4 8 0 4 9 5 0 1 7 895285184174174650 5 1 3 5 5 1 4 5 6 1 6 4 8 7 7 0",https://smaseschools.org/wp-content/uploads/2021/09/CBA-SMASE-2021-2024-FINAL-.pdf
459,10726,CCSD 89,723,no_candidate_table,"{'lines_with_money': 40, 'lines_with_edu_lane': 6}",https://www.ilispa.org/assets/docs/jobplacement/Employment%20handout%202025.pdf
512,10726,CCSD 89,723,no_candidate_table,"{'lines_with_money': 40, 'lines_with_edu_lane': 6}",https://www.ilispa.org/assets/docs/jobplacement/Employment%20handout%202025.pdf
513,10726,CCSD 89,723,no_candidate_table,"{'lines_with_money': 40, 'lines_with_edu_lane': 6}",https://www.ilispa.org/assets/docs/jobplacement/Employment%20handout%202025.pdf
519,10726,CCSD 89,723,no_candidate_table,"{'lines_with_money': 40, 'lines_with_edu_lane': 6}",https://www.ilispa.org/assets/docs/jobplacement/Employment%20handout%202025.pdf
522,10822,AlWood CUSD 225,760,scanned_no_text,words=0 pages=39,https://drive.google.com/uc?export=download&id=1KZW8qjhgUvSqu1xvSXNCOBoNT-KNDGCT
524,10858,CUSD 300,764,no_candidate_table,"{'lines_with_money': 10, 'lines_with_edu_lane': 19}",https://drive.google.com/uc?export=download&id=1S15DlJ--EQRdHNXlEfBWGkjqb_PskY0N
526,11074,Carbon Cliff-Barstow SD 36,768,no_candidate_table,"{'lines_with_money': 8, 'lines_with_edu_lane': 6}",https://content.myconnectsuite.com/api/documents/f7c97277d8b6488db1a2aa0d78968f32
528,10838,Carbondale CHSD 165,770,scanned_no_text,words=0 pages=44,https://www.cchs165.jacksn.k12.il.us/fs/resource-manager/view/dbfec1f6-4fa6-4705-9afd-bdb8967a8f4b
531,10413,Harlem UD 122,775,no_candidate_table,"{'lines_with_money': 70, 'lines_with_edu_lane': 30, 'punct_step_rows': 1} | sample: 5. Professional development must take place through the HSD 122, Regional Office",https://drive.google.com/uc?export=download&id=1mKgohG_kzhGpOGZpd9wuPUg4y3ZDUvBH
