doc_id,district_id,district_name,state,school_year,bargaining_unit,classification,detail,source_url
523,10541,Thornton Twp HSD 205,IL,,teachers,not-CBA,title=0 body=3 agenda=1 policy=0/0 kw=2 -> not-CBA,https://www.district205.net/fs/resource-manager/view/53e801ee-b59a-40bf-a9f5-85b7f22114c6
525,10939,Tonica CCSD 79,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://tonicagradeschool.org/wp-content/uploads/2024/10/Collective-Bargaining-Agreement-9-12-2024-2-2.pdf
528,11136,Tremont CUSD 702,IL,,teachers,not-CBA,title=0 body=4 agenda=0 policy=1/27 kw=1 -> not-CBA policy_manual,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/343/Tremont_District/612dc329-1de9-4c1a-8f67-95df8da24ec3/Certified_School_Employee_Handbook_2023.pdf?disposition=inline
532,10385,Triopia CUSD 27,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/468614/Union_Contract_FY20-22_Signed.pdf
537,10986,Venice CUSD 3,IL,,teachers,not-CBA,title=1 body=0 agenda=0 policy=0/0 kw=5 -> not-CBA,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/2559/VCUSD/5540667/Job_Posting_Music-Band.pdf
540,11454,Waltonville CUSD 1,IL,,teachers,not-CBA,title=1 body=2 agenda=0 policy=0/23 kw=3 -> not-CBA,https://www.cusd1.org/files/user/300/2-260-Uniform-Grievance-091924.pdf
545,11048,Whiteside Area Career,IL,,teachers,not-CBA,title=0 body=1 agenda=0 policy=1/0 kw=2 -> not-CBA,https://www.riverbendschools.org/vimages/shared/vnews/stories/65fd8e347b40e/River%20Bend%20West%20Carroll%20Reorg%20Study%20upated%20March%2011%20%281%29.pdf
547,10684,West Lincoln-Broadwell ESD 92,IL,,transportation,not-CBA,title=0 body=0 agenda=0 policy=0/0 kw=0 -> not-CBA,https://www.wlb92.org/UserFiles/Servers/Server_24501338/File/Permission for Student Transportation by Parent.pdf
549,11289,Westchester SD 92-5,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://www.sd925.org/pdfs/Finance/MOU-Insurance%20Committee%205_20_2021%20_WEA_.pdf
550,10390,Western CUSD 12,IL,,support_staff,needs-OCR,insufficient_text (0 chars),https://www.westerncusd12.org/wp-content/uploads/2025/03/Non-Certified-Salary-Schedule-2021-2025.pdf
555,10422,Winnebago CUSD 323,IL,,support_staff,not-CBA,title=0 body=0 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.winnebagoschools.org/fs/resource-manager/view/bc9abd68-509b-488e-94e6-816b439b3a85
