RCDTS,NCES_ID,District,County,Website,Unit,PDF_Filename,PDF_Size_KB,Folder_Name
030250400,1713560,Effingham CUSD 40,Effingham,https://www.unit40.org,Unknown,01_SEPCO_Agreement_25_26_234817_826fcc1b_4e46_46da_94f1_842ff13c0856.pdf,83.9,Effingham_CUSD_40
030250400,1713560,Effingham CUSD 40,Effingham,https://www.unit40.org,Unknown,02_SEPCO_Agreement_24_25_223119_9f0e0833_5789_4ac3_ab52_fe4922e3166f.pdf,95.0,Effingham_CUSD_40
030250400,1713560,Effingham CUSD 40,Effingham,https://www.unit40.org,Unknown,ECTA_Contract_FY26-FY30.pdf,16899.2,Effingham_CUSD_40
030250400,1713560,Effingham CUSD 40,Effingham,https://www.unit40.org,Unknown,EESPA_Contract_2021-2025.pdf,420.7,Effingham_CUSD_40
300020050,1713590,Egyptian CUSD 5,Alexander,http://egyptianschool.com,Unknown,EEA_Contract_2025-2028.pdf,8477.1,Egyptian_CUSD_5
200830040,1713660,Eldorado CUSD 4,Saline,http://www.eld4.org,Teachers,EEA_Teacher_Contract_2024-2026.pdf,4934.2,Eldorado_CUSD_4
200830040,1713660,Eldorado CUSD 4,Saline,http://www.eld4.org,Unknown,Teamsters_Contract_2024-2026.pdf,2921.3,Eldorado_CUSD_4
UNKNOWN,,Elk_Grove_CUSD_59,UNKNOWN,,Unknown,Certified_Professionals_2025-2029.pdf,830.6,Elk_Grove_CUSD_59
UNKNOWN,,Elk_Grove_CUSD_59,UNKNOWN,,Unknown,Custodial_Maintenance_2024-2028.pdf,456.1,Elk_Grove_CUSD_59
UNKNOWN,,Elk_Grove_CUSD_59,UNKNOWN,,Unknown,ESP_2025-2029.pdf,718.0,Elk_Grove_CUSD_59
UNKNOWN,,Elk_Grove_CUSD_59,UNKNOWN,,Unknown,ESP_archive.pdf,616.0,Elk_Grove_CUSD_59
190222050,1713970,Elmhurst SD 205,Dupage,http://www.elmhurst205.org,Unknown,ETC_Contract_2024-2027.pdf,35067.9,Elmhurst_SD_205
